                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                 2.1647,                 1.0808,                0.83962,                0.75447,                 0.4868,                0.59736,                0.26192,                 2.0682,                 1.0342,                0.79124,              0.0007328,              0.0007328,              0.0007328
                     66,                 2.1644,                 1.0498,                0.84717,                0.76846,                0.48515,                0.61778,                0.26573,                 1.9548,                 1.2031,                0.78927,               0.000713,               0.000713,               0.000713
                     67,                 2.0788,                  1.058,                0.85138,                0.81613,                0.57133,                0.62166,                0.26567,                 2.0636,                 1.0259,                0.79327,              0.0006932,              0.0006932,              0.0006932
                     68,                 2.0585,                 1.0122,                0.82611,                0.84977,                0.60396,                0.66617,                0.28326,                 1.9585,                0.90496,                 0.7947,              0.0006734,              0.0006734,              0.0006734
                     69,                  2.088,                 0.9611,                0.83305,                 0.7738,                0.50807,                 0.6286,                0.29223,                 1.9485,                0.93015,                0.78798,              0.0006536,              0.0006536,              0.0006536
                     70,                 2.1677,                 1.1035,                0.84546,                   0.78,                0.52658,                0.62999,                0.26104,                 1.9476,                0.94446,                0.79004,              0.0006338,              0.0006338,              0.0006338
                     71,                 2.0166,                0.98116,                0.82895,                0.79629,                0.57426,                0.64215,                0.28765,                 1.8624,                0.89488,                0.78563,               0.000614,               0.000614,               0.000614
                     72,                 2.1962,                 1.0266,                0.83161,                0.65565,                0.50495,                0.53225,                 0.2382,                 1.8816,                0.91221,                0.78342,              0.0005942,              0.0005942,              0.0005942
                     73,                 2.0809,                 1.0245,                 0.8263,                0.64556,                0.53465,                0.55901,                0.24005,                  2.019,                0.88788,                0.78394,              0.0005744,              0.0005744,              0.0005744
                     74,                 2.0313,                0.93849,                0.82399,                0.73263,                0.53465,                0.59744,                0.27088,                 1.8116,                0.85343,                0.78023,              0.0005546,              0.0005546,              0.0005546
                     75,                 2.0132,                0.99479,                0.82003,                0.73077,                0.48374,                0.54816,                0.23614,                 1.9513,                0.91334,                 0.7774,              0.0005348,              0.0005348,              0.0005348
                     76,                 2.0033,                0.93379,                 0.8398,                0.79071,                0.51485,                0.64801,                0.29217,                  1.871,                0.92899,                 0.7834,               0.000515,               0.000515,               0.000515
                     77,                 2.0722,                0.94442,                0.82397,                0.82575,                0.49505,                0.59904,                0.25834,                 1.9599,                 0.9182,                0.78497,              0.0004952,              0.0004952,              0.0004952
                     78,                 2.0923,                 1.0386,                0.83864,                 0.8048,                0.52475,                0.62063,                0.25987,                 1.9472,                 0.8688,                0.78612,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.9666,                0.94256,                0.82559,                0.77054,                0.45545,                0.59298,                 0.2497,                 1.9085,                0.95489,                0.78114,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.9946,                0.98517,                0.83354,                0.74107,                0.51485,                 0.6229,                0.27111,                 1.8096,                0.90839,                0.78162,              0.0004358,              0.0004358,              0.0004358
                     81,                 2.1157,                 1.0229,                0.82164,                0.85825,                0.47964,                0.60969,                0.25774,                 1.8726,                0.93146,                0.77979,               0.000416,               0.000416,               0.000416
